DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,PIRE GOUREYE,DAKHAR DJODJ,1,173,ABRI PROVISOIRE
TIVAOUANE,PIRE GOUREYE,DAROU CISSE,1,446,ABRI PROVISOIRE
TIVAOUANE,PIRE GOUREYE,KA,1,439,ECOLE SALLE 1
TIVAOUANE,PIRE GOUREYE,KEUR AMATH PENDA,1,112,ECOLE ELEMENTAIRE
TIVAOUANE,PIRE GOUREYE,KEUR ASSANE,1,206,ABRI PROVISOIRE
TIVAOUANE,PIRE GOUREYE,KEUR GALLO KEBE,1,224,ECOLE SALLE 1
TIVAOUANE,PIRE GOUREYE,KEUR GALLO KEBE,2,223,ECOLE SALLE 2
TIVAOUANE,PIRE GOUREYE,KEUR NDIAGA MBAYE,1,276,ABRI PROVISOIRE
TIVAOUANE,PIRE GOUREYE,LA CASE DES TOUS PETITS DE PIRE,1,41,CADE DES TOUS PETITS SALLE 1
TIVAOUANE,PIRE GOUREYE,LA CASE DES TOUS PETITS DE PIRE,2,39,CASE DES TOUS PETITS SALLE 2
TIVAOUANE,PIRE GOUREYE,MBARAGLOU KHOULE,1,566,ECOLE
TIVAOUANE,PIRE GOUREYE,MERINA SALL 1,1,317,ABRI PROVISOIRE
TIVAOUANE,PIRE GOUREYE,NDJEGUEDJE,1,417,ECEOLE SALLE 1
TIVAOUANE,PIRE GOUREYE,NDJEGUEDJE,2,417,ECOLE SALLE 2
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,1,592,MAISON COMMUNAUTAIRE
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,2,592,ECALE 1 SALLE 1
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,3,591,ECOLE 1 SALLE 2
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,4,592,FOYER DES JEUNES
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,5,590,ANCIEN CEM SALLE 1
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,6,589,ANCIEN CEM SALLE 2
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,7,591,ECOLE 1 SALLE 3
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,8,590,ECOLE 1 SALLE 4
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,9,589,ECELE 1 SALLE 5
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,10,592,ECOLE 1 SALLE 6
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,11,591,ECOLE 4
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,12,591,ECOLE 2 SALLE 1
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,13,590,ECOLE 2 SALLE 2
TIVAOUANE,PIRE GOUREYE,PIRE GOUREYE,14,592,ECOLE 2 SALLE DE CLASSE
TIVAOUANE,PIRE GOUREYE,YENDOUNANE,1,402,ECOLE SALLE 1
TIVAOUANE,PIRE GOUREYE,YENDOUNANE,2,401,ECOLE SALLE 2
